ICAO	Airline	CALL SIGN	Country
SQH	SeaPort Airlines	SASQUATCH	United States
SQL	Servicos De Alquiler	ALQUILER	Mexico
SQM		GOLDEN FIN	
SQP	SkyUp	SKYUP	Ukraine
SQR		ALSAQER AVIATION	
SQS		SKY QUEEN	
SQU		REMUDO	
SQV		COASTAL AIR	
SRA	Sair Aviation	SAIR	Canada
SRB		SOLAR THAI	
SRC	Searca	SEARCA	Colombia
SRE	Fly Jetstream Aviation	STREAMJET	South Africa
SRF	Transportes Aéreos San Rafael	SAN RAFEAL	Chile
SRG		RESCUE	
SRH	Siem Reap Airways	SIEMREAP AIR	Cambodia
SRI	Air Safaris and Services	AIRSAFARI	New Zealand
SRJ	C Air Jet Airlines	SYRJET	Syrian Arab Republic
SRK	Sky Work Airlines	SKYFOX	Switzerland
SRL	Servicios Aeronáuticos Aero Personal	SERVICIOS PERSONAL	Mexico
SRM		TARMEX	
SRN	Sirair	SIRAIR	Russia
SRO	Servicios Aéreos Ejecutivos Saereo	SAEREO	Ecuador
SRP	Polizeihubschauberstaffel Rheinland-Pfalz	SPERBER	Germany
SRQ	Cebgo	BLUE JAY	Philippines
SRQ	South East Asian Airlines	SEAIR	Philippines
SRR	Star Air	WHITESTAR	Denmark
SRS	Selkirk Remote Sensing	PHOTO CHARLIE	Canada
SRT	Trans Asian Airlines	TRASER	Kazakhstan
SRU	Star Up	STAR-UP	Peru
SRV	Aero Servicio Corporativo	SERVICORP	Mexico
SRW	Sarit Airlines	SARIA	Sudan
SRX	Sierra Expressway Airlines	SIERRA EX	United States
SRY		STINGRAY	
SRZ	Strato Air Services	STRATO	South Africa
SSA		SISAV	
SSB	Sasair	SASIR	Canada
SSC	Southern Seaplane	SOUTHERN SKIES	United States
SSD	Star Service International	STAR SERVICE	France
SSE	Servicios Aéreos Sunset	SUNSET	Mexico
SSF	Severstal Air Company	SEVERSTAL	Russia
SSG	Slovak Government Flying Service	SLOVAK GOVERNMENT	Slovakia
SSH	Heritage Flight (Valley Air Services)	SNOWSHOE	United States
SSI	Vision Airlines	SUPER JET	Nigeria
SSJ		SIBERIAN SKY	
SSK	Skystar International	SKYSTAR	United States
SSL	Air Sultan	SIERRA SULTAN	Sierra Leone
SSM		RAPID	
SSN		SETOUCHI	
SSO	Special Scope Limited	DOPE	United Kingdom
SSP	Starspeed	STARSPEED	United Kingdom
SSQ	Sunstate Airlines	SUNSTATE	Australia
SSR		SARDINIAN	
SSS	SAESA	SAESA	Spain
SST	Sunwest Airlines	SUNFLIGHT	Canada
SSU	SASCA	SASCA	Venezuela
SSV		SKYTOUR	
SSW	Streamline Aviation	STREAMLINE	United Kingdom
SSX	Lynx Aviation	SHASTA	United States
SSY	Sky Aviation	SIERRA SKY	Sierra Leone
SSZ	Specsavers Aviation	SPECSAVERS	United Kingdom
STA	Star Aviation	STAR	United Kingdom
STB	Status-Alpha Airline	STATUS-ALPHA	Ukraine
STC	Stadium City Limited	STADIUM	United Kingdom
STD	Servicios De Aerotransportacion De Aguascalientes	AERO AGUASCALINETES	Mexico
STE	Semitool Europe	SEMITRANS	United Kingdom
STG	Sedalia, Marshall, Boonville Stage Line	STAGE	United States
STI	Sontair	SONTAIR	Canada
STJ	Sella Aviation	STELLAVIA	Netherlands
STK	Stobart Air	STOBART	Ireland
STL	Stapleford Flight Centre	STAPLEFORD	United Kingdom
STM		STARMAC	
STN	RAF St Athan	SAINT ATHAN	United Kingdom
STO	Streamline Ops	SLOPS	Russia
STP		SAOTOME AIRWAYS	
STQ	Star Air	STERA	Indonesia
STR	Red Star	STARLINE	United Arab Emirates
STT	Air St. Thomas	PARADISE	United States
STT	Alpha Star Charter	STAR CHARTER	Saudi Arabia
STT	Western Aircraft, Inc	SAWTOOTH	United States
STU	Servicios de Transportes Aéreos Fueguinos	FUEGUINO	Argentina
STU	Star African Air	STARSOM	Somali Republic
STV	Saturn Aviation	SATURN	United States
STW	South West Air Corporation	SIERRA WHISKEY	Philippines
STX	Stars Away Aviation	STARSAWAY	South Africa
STY	Styrian Airways	STYRIAN	Austria
STZ		STUDIO	
SUA	Silesia Air	AIR SILESIA	Czech Republic
SUB	Suburban Air Freight	SUB AIR	United States
SUC		SURCA	
SUD	Sudan Airways	SUDANAIR	Sudan
SUE	Aerolíneas Del Sureste	AEROSURESTE	Mexico
SUF	Sun Air (Fiji)	SUNFLOWER	Fiji
SUG	Sunu Air	SUNU AIR	Senegal
SUH	Sun Light	LIGHT AIR	Kyrgyzstan
SUI	Swiss Air Force	SWISS AIR FORCE	Switzerland
SUJ		SUNJET	
SUK	Superior Aviation Services	SKYCARGO	Kenya
SUL		ASTAIR	
SUM	State Unitary Air Enterprise	SUMES	Russia
SUO	Aeroservicios De San Luis	SERVICIO SANLUIS	Mexico
SUP	Aeronautical Charters	SUN SPEED	United States
SUP	Aerosuper	AEROSUPER	Mexico
SUQ		SUPERIOR	
SUR		SURREY	
SUS	Sun Air of Scandinavia	SUNSCAN	Denmark
SUT	Sistemas Aeronauuticos 2000	SISTEMAS AERONAUTICOS	Mexico
SUU	Star West Aviation	SUNSTAR	United States
SUV	Sundance Air	DANCEAIR	Venezuela
SUW	Interavia Airlines	ASTAIR	Russia
SUY	Aerial Surveys (1980) Limited	SURVEY	New Zealand
SUZ		SUZY	
SVA	Saudia	SAUDIA	Saudi Arabia
SVB	Siavia	SIAVIA	Slovenia
SVD	St. Vincent Grenadines Air (1990)	GRENADINES	Saint Vincent and the Grenadines
SVE	Aero Servicios Expecializados	AEROESPECIAL	Mexico
SVF	Swedish Armed Forces	SWEDEFORCE	Sweden
SVG		SOLAVIA	
SVH	Sterling Helicopters	SILVER	United Kingdom
SVI	Servicios De Transporte Aéreo	SETRA	Mexico
SVK		VISION	
SVL	Sevastopol-Avia	SEVAVIA	Ukraine
SVM	Aeroservicios Monterrey	SERVIMONTE	Mexico
SVN	Savanair (Angola)	SAVANAIR	Angola
SVO	Servicios Aeronáuticos De Oriente	SERVIORIENTE	Mexico
SVP		SAZAVIA	
SVR	Ural Airlines	SVERDLOVSK AIR	Russia
SVS	Servicios Aéreos Saar	AEREOS SAAR	Mexico
SVT	Seven Four Eight Air Services	SIERRA SERVICES	Luxembourg
SVV	SALTAVIATION	SALT	Poland
SVW	Global Jet Luxembourg	SILVER ARROW	Luxembourg
SVX	Security Aviation	SECURITY AIR	United States
SVY	Cooper Aerial Surveys	SURVEYOR	United Kingdom
SVZ		SERVICIOS VIZ	
SWA	Southwest Airlines	SOUTHWEST	United States
SWB	Swissboogie Parapro	SWISSBOOGIE	Switzerland
SWC	South West Air	SAINT CLAIR	Canada
SWD	Southern Winds Airlines	SOUTHERN WINDS	Argentina
SWD	Trifly	SAWBLADE	United States
SWE	Swedeways	SWEDELINE	Sweden
SWF	Galair International	GALAIR	United Kingdom
SWG	Sunwing Airlines	SUNWING	Canada
SWH	Adler Aviation	SHOCKWAVE	Canada
SWI	Sunworld Airlines	SUNWORLD	United States
SWJ	StatesWest Airlines	STATES	United States
SWK	General Aerospace	SKYWALKER	Canada
SWL	Trans Jet Airways	TRANSJET	Sweden
SWM		SKY ANGKOR	
SWN	West Air Sweden	AIR SWEDEN	Sweden
SWO		SIVA	
SWP	Star Work Sky	STAR WORK	Italy
SWQ	Swift Air (Interstate Equipment Leasing)	SWIFTFLIGHT	United States
SWR	Swiss International Air Lines	SWISS	Switzerland
SWS	Sunwest Aviation (Lindquist Investment)	SUNNY WEST	United States
SWT	Swiftair	SWIFT	Spain
SWU	Swiss Global Air Lines	EUROSWISS	Switzerland
SWV	Swe Fly	FLYING SWEDE	Sweden
SWW	Shovkoviy Shlyah	WAY AERO	Ukraine
SWX	Swazi Express Airways	SWAZI EXPRESS	Swaziland
SWY	Sky Jet	SWISSLINK	Switzerland
SWZ	Servair, Private Charter	SWISSBIRD	Switzerland
SWZ	Skywise Airline	SKYWISE	South Africa
SXA	Southern Cross Aviation	FERRY	United States
SXC	Sky Exec Aviation Services	SKY EXEC	Nigeria
SXD	Sunexpress Deutschland	SUNRISE	Germany
SXE	Southeast Express Airlines	DOGWOOD EXPRESS	United States
SXF		SOUTHERN FLIGHT	
SXG		GERMAN SUN	
SXI		SOUTHERN CROSS	
SXJ		BIG WING	
SXL		SONIC	
SXM	Servicios Aéreos Especializados Mexicanos	SERVIMEX	Mexico
SXN	SaxonAir	SAXONAIR	United Kingdom
SXP		EXPRESS SKY	
SXR		SKYSTORM	
SXS	SunExpress	SUNEXPRESS	Turkey
SXT	Servicios De Taxi Aéreo	SERTA	Mexico
SXT	Servicios de Taxi Aereos	SERTAXI	Mexico
SXX	Satellite Aero	SATELLITE EXPRESS	United States
SXY	Safari Express Cargo	SAFARI EXPRESS	Kenya
SXZ		STAGECOACH	
SYA	Skyways	LINEAS CARDINAL	Argentina
SYB	SkyService	SKYBIZ	Canada
SYC	Systec 2000	SYSTEC	United States
SYD		SKYDOCTOR	
SYF	Sky One Express Airlines	SKYFIRST	United States
SYG	Synergy Aviation	SYNERGY	United Kingdom
SYK	Satsair	AEROCAB	United States
SYL	Yakutia Airlines	AIR YAKUTIA	Russia
SYM		VOLO SKY	
SYN	Syncrude Canada	SYNCRUDE	Canada
SYO		SYERSTON	
SYP		SKY PLAN	
SYR	Syrian Arab Airlines	SYRIANAIR	Syrian Arab Republic
SYS	Shawbury Flying Training Unit	SHAWBURY	United Kingdom
SYT	Aerosud Aviation	SKYTRACK	South Africa
SYU		SKY UNLIMITED	
SYV	Special Aviation Systems	SPECIAL SYSTEM	United States
SYW		SKY AIR	
SYX	Skywalk Airlines	SKYWAY-EX	United States
SYY	South African Historic Flight	SKY COACH	South Africa
SYZ	Zil Air	ZIL AIR	Seychelles
SZA		AIR ASTRO	
SZB	Samoa Air	SAMOA	Samoa
SZF		SKYFORCE	
SZG		STOTZ AGRO	
SZL		SWAZILINK	
SZN	Air Senegal	AIR SENEGAL	Senegal
SZS		SPINNAKER	
SZT	Servicios Aeronáuticos Z	AERO ZEE	Mexico
SZX		ZAMBEX	
TAA	Aeroservicios de La Costa	AERO COSTA	Mexico
TAB		TABA	
TAC	Turbot Air Cargo	TURBOT	Senegal
TAD	Transporte Aéreo Dominicano	TRANS DOMINICAN	Dominican Republic
TAE	TAME	TAME	Ecuador
TAF		ASIA WORLD	
TAG	TAG Aviation USA	TAG U-S	United States
TAH		AIR MOOREA	
TAI	Avianca El Salvador	TACA	El Salvador
TAJ	Tunisavia	TUNISAVIA	Tunisia
TAK		TRANSAFRICAN	
TAL	Talair	TALAIR	Papua New Guinea
TAM	LATAM Brasil	TAM	Brazil
TAN	Zanair	ZANAIR	Tanzania
TAO	Aeromar	TRANS-AEROMAR	Mexico
TAP	TAP Portugal	AIR PORTUGAL	Portugal
TAQ		TAUNUSAIR	
TAR	Tunisair	TUNAIR	Tunisia
TAS	Lotus Air	LOTUS FLOWER	Egypt
TAT	Grupo TACA	TACA-COSTARICA	Costa Rica
TAU	Transportes Aéreos Tauro	TRANSTAURO	Mexico
TAV	Compañía de Servicios Aéreos Tavisa	TAVISA	Spain
TAW		TIAN-SHAN	
TAX	Thai AirAsia X	EXPRESS WING	Thailand
TAY	TNT Airways	QUALITY	Belgium
TAZ		AMAZON	
TBA	Tibet Airlines	TIBET	China
TBB		IBERLINE	
TBC		BLADE	
TBD	Thunderbird Tours	ORCA	Canada
TBE		TAXI BAIE	
TBI	TAB Express International	TAB INTERNATIONAL	United States
TBJ		TAG JET	
TBL	Aerotrebol	AEROTREBOL	Mexico
TBL	Bell Aliant Regional Communications	TELCO	Canada
TBM	Taban Air Lines	TABAN AIR	Iran
TBN	Teebah Airlines	TEEBAH	Sierra Leone
TBO	Aero Taxi de Los Cabos	AERO CABOS	Mexico
TBR	Tubelair	TUBELAIR	Tunisia
TBS	Servicios Aéreos Tribasa	TRIBASA	Mexico
TBT		TOMBOUCTOU AIR	
TBX	Tobago Express	TABEX	Trinidad and Tobago
TBZ		ATALAR AIR	
TCA	Tropican Air Services	TROPICANA	Egypt
TCB	Transporte Aereo De Colombia	AERO COLOMBIA	Colombia
TCB	Transporte del Caribe	TRANSCARIBE	Colombia
TCC	Trans Continental Airlines	TRANSCAL	Sudan
TCD	Tchad Airlines	TCHADLINES	Chad
TCE	Trans-Colorado Airlines	TRANS-COLORADO	United States
TCF	Shuttle America	MERCURY	United States
TCG	Thai Air Cargo	THAI CARGO	Thailand
TCG	Transafricaine Air Cargo	AFRICARGO	Burkina Faso
TCH	Transcontinental Air	TRANS GULF	Bahrain
TCI		AMBER	
TCJ		CHARTER BRASIL	
TCK		BUL TRUCKS	
TCL	Coastal Air Transport	TRANS COASTAL	United States
TCM	Teledyne Continental Motors	TELEDYNE	United States
TCN	Trans Continental Airlines	TRANSCON	United States
TCO	Aerotranscolombina de Carga	TRANSCOLOMBIA	Colombia
TCP	Transcorp Airways	TRANSCORP	United Kingdom
TCR	Lanaes Aereas Trans Costa Rica	TICOS	Costa Rica
TCS		TECHSERVICE	
TCT	Transcontinental Sur	TRANS-CONT	Uruguay
TCU	Transglobal Airways Corporation	TRANSGLOBAL	Philippines
TCV	TACV	CABOVERDE	Cape Verde
TCW		PHOENIX	
TCX	Thomas Cook Airlines	THOMAS COOK	United Kingdom
TCY	Twin Cities Air Service	TWIN CITY	United States
TDA	Trend Aviation	TREND AIR	United States
TDB	Welch Aviation	THUNDER BAY	United States
TDC		TADAIR	
TDE	Tellavia / Flight One	TELLURIDE	United States
TDG	Air Cargo Express	TURBO DOG	United States
TDI	Transportes Aéreos de Ixtlán	TRANSIXTLAN	Mexico
TDK		GREEN	
TDM	Tandem Aero	TANDEM	Moldova
TDO	TRADO	TRADO	Dominican Republic
TDR	Trade Air	TRADEAIR	Croatia
TDS		TSARADIA	
TDT	Atlas Helicopters	TRIDENT	United Kingdom
TDV	Taxi Aero Nacional Del Evora	TAXI EVORA	Mexico
TDX	Tradewinds Airlines	TRADEWINDS EXPRESS	United States
TDY	Air Today	AIR TODAY	United States
TEA	Executive Turbine Aviation	TRAVELMAX	South Africa
TEB	Tenir Airlines	TENIR AIR	Kyrgyzstan
TEC	ADI Shuttle Group	TECHJET	United States
TED	Aero Servicios Azteca	AEROAZTECA	Mexico
TEE	West Freugh DTEO	TEEBIRD	United Kingdom
TEF	Tecnicas Fotograficas	TECFOTO	Spain
TEG		EUROLINES	
TEH	Tempelhof Airways	TEMPELHOF	United States
TEJ		TRANSEJECUTIVOS	
TEK		ATECH	
TEL	Telford Aviation	TELFORD	United States
TEM	Tech-Mont Helicopter Company	TECHMONT	Slovakia
TEN	Tennessee Airways	TENNESSEE	United States
TEO		TRANSAEREO	
TEP	Transeuropean Airlines	TRANSEURLINE	Russia
TER	Territorial Airlines	TERRI-AIRE	United States
TES	Taespejo Portugal LDA	TESABAN	Portugal
TET	Tepavia-Trans Airlines	TEPAVIA	Moldova
TEU		TAG MALTA	
TEW	Airteam Charter	TEAMWORK	South Africa
TEX	Catex	CATEX	France
TEY		ANTEY	
TEZ		TEZJET	
TFA	Trans-Florida Airlines	TRANS FLORIDA	United States
TFB	Tair Airways	ROYAL TEE-AIR	Philippines
TFF	Talon Air	TALON FLIGHT	United States
TFG	MAS Airways	TRAFALGAR	United Kingdom
TFH	Thai Flying Helicopter Service	THAI HELICOPTER	Thailand
TFL	TUI Airlines Netherlands	ORANGE	Netherlands
TFN	Norwegian Aviation College	SPIRIT	Norway
TFO	Transportes Aéreos del Pacífico	TRANSPORTES PACIFICO	Mexico
TFR		TOLL FREIGHT	
TFS		CAMPUS	
TFT	Thai Flying Service	THAI FLYING	Thailand
TFU	213th Flight Unit	THJY	Russia
TFX		TOLL EXPRESS	
TFY	Tayside Aviation	TAYSIDE	United Kingdom
TFZ		TRANSZIM	
TGA		AIR TOGO	
TGC	TG Aviation	THANET	United Kingdom
TGE	Trabajos Aéreos	TASA	Spain
TGF		TAXIGOLFO	
TGG	Tigerair Australia	TIGGOZ	Australia
TGI	Transportes Aéreos Regionales	TRANSPORTE REGIONAL	Mexico
TGL		TRANS-ATLANTIC	
TGM	TAG Aviation Espana	TAG ESPANA	Spain
TGN	Trigana Air Service	TRIGANA	Indonesia
TGO	Transport Canada	TRANSPORT	Canada
TGP		TROPICANA	
TGR		SATGURAIR	
TGS		CARGUERO	
TGT	SAAB Nyge Aero	TARGET	Sweden
TGU		CHAPIN	
TGW	Scoot	SCOOTER	Singapore
TGX	Transair Gabon	TRANSGABON	Gabon
TGY	Trans Guyana Airways	TRANS GUYANA	Guyana
TGZ	Georgian Airways	TAMAZI	Georgia
THA	Thai Airways International	THAI	Thailand
THB	Spark Air	THAI SABAI	Thailand
THC	Tar Heel Aviation	TARHEEL	United States
THD	Thai Smile Airways	THAI SMILE	Thailand
THE	Toumai Air Tchad	TOUMAI AIR	Chad
THF	Touraine Helicoptere	TOURAINE HELICO	France
THG	Thai Global Airline	THAI GLOBAL	Thailand
THJ	Thai Jet Intergroup	THAI JET	Thailand
THK	Turk Hava Kurumu Hava Taksi Isletmesi	HUR KUS	Turkey
THL		TERNHILL	
THM	Airmark Aviation	THAI AIRMARK	Thailand
THN	International Security Assistance Force	ATHENA	Canada
THO	TACA De Honduras	LEMPIRA	Honduras
THR	Tehran Airline	TEHRAN AIR	Iran
THS	Turkish Aerospace Industries	TUSAS	Turkey
THT	Air Tahiti Nui	TAHITI AIRLINES	France
THU	Thunder Airlines	AIR THUNDER	Canada
THY	Turkish Airlines	TURKISH	Turkey
THZ	Trans Helicoptere Service	LYON HELIJET	France
TIA	Trans International Airlines	TRANS INTERNATIONAL	United States
TIB	TRIP Linhas Aéreas	TRIP	Brazil
TIC	Travel International Air Charters	TRAVEL INTERNATIONAL	Zambia
TIE	Time Air	TIME AIR	Czech Republic
TIF		TIFFANY	
TIG		TIGRIS	
TIH	S C Ion Tiriac	TIRIAC AIR	Romania
TII		TAISA	
TIK	Tic Air	TICAIR	Australia
TIL		TIL	
TIM	TEAM Linhas Aéreas	TEAM BRASIL	Brazil
TIN	Taino Tours	TAINO	Dominican Republic
TIP	C and M Aviation	TRANSPAC	United States
TIR	Antair	ANTAIR	Mexico
TIS	Tesis	TESIS	Russia
TIT		TIT AVIA	
TIU		THAI JET	
TIW	Transcarga Intl Airways	TIACA	Venezuela
TIX		MATRIX	
TJA		TAPJETS	
TJB		ALADIN	
TJE		TOMZAJET	
TJF		TREHAVEN	
TJJ		THUNDERBOLT	
TJK	Tajikair	TAJIKAIR	Tajikistan
TJN	Tien-Shan	NERON	Kazakhstan
TJS	Tyrolean Jet Services	TYROLJET	Austria
TJT	Twin Jet	TWINJET	France
TKA		TOURLIZ	
TKC	Tikal Jets Airlines	TIKAL	Guatemala
TKE	Take Air Line	ISLAND BIRD	France
TKI		TURKU AIR	
TKJ	Tarkim Aviation	TARKIM AVIATION	Turkey
TKK		TARKA	
TKL		SARISY	
TKM		TACOMA	
TKO		TRETYAKOVO	
TKR		TANKER	
TKU		UGATRANS	
TKW		TECHWIN	
TKX	Tropical International Airways	TROPEXPRESS	Saint Kitts and Nevis
TLA	Translift Airways	TRANSLIFT	Ireland
TLB	Atlantique Air Assistance	TRIPLE-A	France
TLC	Caribbean Express	CARIB-X	United States
TLD	Aereo Taxi Autlan	AEREO AUTLAN	Mexico
TLE	Aero Util	AEROUTIL	Mexico
TLF	Transport Africa	TRANS-LEONE	Sierra Leone
TLG		TALGAT	
TLI		TWINLINE	
TLK	Starlink Aviation	STARLINK	Canada
TLL	Trans Atlantic Airlines	ATLANTIC LEONE	Sierra Leone
TLM	Thai Lion Mentari	MENTARI	Thailand
TLN		ATALTLAS	
TLO	Eagle Canyon Airlines	TALON AIR	United States
TLP	Tulip Air	TULIPAIR	Netherlands
TLR	Air Libya Tibesti	AIR LIBYA	Libya
TLS	TLC Air	TEALSY	United States
TLT	Turtle Airways	TURTLE	Fiji
TLU	Aero Toluca Internactional	AEROTOLUCA	Mexico
TLV	Travelair	PAJAROS	Uruguay
TLW	Teamline Air	TEAMLINE	Austria
TLX	Telesis Transair	TELESIS	United States
TLY	Top Fly	TOPFLY	Spain
TLZ		TRANSLIZ	
TMA	Trans Mediterranean Airlines	TANGO LIMA	Lebanon
TMB		SAFARI EXPRESS	
TMC	Travel Management Company	TRAIL BLAZER	United States
TMD	Transmandu	TRANSMANDU	Venezuela
TME	Aero Taxi del Centro de Mexico	TAXICENTRO	Mexico
TMG	Tri-MG Intra Asia Airlines	TRILINES	Indonesia
TMH	Taxis Turisticos Marakame	TAXIMARAKAME	Mexico
TMI	Tamir Airways	TAMIRWAYS	Israel
TMK	Tomahawk Airways	TOMAHAWK	United States
TML	Transports et Travaux Aériens de Madagascar	TAM AIRLINE	Madagascar
TMM	TMC Airlines	WILLOW RUN	United States
TMN		FREIGHTEXPRESS	
TMP	Arizona Express Airlines	TEMPE	United States
TMQ	TRAM	TRAM AIR	Mauritania
TMR	Timberline Air	TIMBER	Canada
TMS	Temsco Helicopters	TEMSCO	United States
TMT	Trans Midwest Airlines	TRANS MIDWEST	United States
TMW		TRANS MALDIVIAN	
TMX	Tramon Air	TRAMON	South Africa
TMY	Transportes Aéreos del Mundo Maya	MUNDO MAYA	Mexico
TMZ	Transporte Amazonair	TRANS AMAZON	Venezuela
TNA		TRANSASIA	
TNB	Trans Air-Benin	TRANS-BENIN	Benin
TNC	National Aviation Consultants	NATCOM	Canada
TND	Aero Taxis Cessna	TAXIS CESSNA	Mexico
TNE	Taxis Aéreos del Noroeste	TAXINOROESTE	Mexico
TNF	Transafricaine	TRANSFAS	Burkina Faso
TNG		TRAINING	
TNH		TURNHOUSE	
TNI	Transair International Linhas Aéreas	TRANSINTER	United States
TNK		TONKA	
TNL	Tengeriyn Ulaach Shine	SKY HORSE	Mongolia
TNM	Tiara Air	TIARA	Aruba
TNO	Aerotransporte de Carga Union	AEROUNION	Mexico
TNP	Transped Aviation	TRANSPED	Austria
TNR	Tanana Air Services	TAN AIR	United States
TNS		SAVA SERVICOS	
TNT	Trans North Turbo Air	TRANS NORTH	Canada
TNU		TRANSNUSA	
TNV	Transnorthern	TRANSNORTHERN	United States
TNW	Trans Nation Airways	TRANS-NATION	Ethiopia
TNX	Trener Ltd	TRAINER	Hungary
TNY	Twin Town Leasing Company	TWINCAL	United States
TOA		TOPCAT	
TOB	Tobruk Air	TOBRUK AIR	Libya
TOC	Aerotropical	TROPICMEX	Mexico
TOF	RAF Topcliffe Flying Training Unit	TOPCLIFFE	United Kingdom
TOH	Air Tomisko	TOMISKO CARGO	Serbia
TOJ	TOJ Airlines	TOJ AIRLINE	Tajikistan
TOK	Airlines PNG	BALUS	Papua New Guinea
TOL	Tol-Air Services	TOL AIR	United States
TOM	TUI Airways	TOMJET	United Kingdom
TON	Aero Tonala	AEROTONALA	Mexico
TOO		ALIEUROPE	
TOP	Top Air	AIR TOP	Indonesia
TOR	Toronto Airways	TORONTAIR	Canada
TOS	Tropic Air	TROPISER	Belize
TOT		ZAP	
TOW	AirTanker Services	TOWLINE	United Kingdom
TOX	Neosiam Airways	SKY KINGDOM	Thailand
TOY	Toyota Canada	TOYOTA	Canada
TPA	TAMPA	TAMPA	Colombia
TPB	Aero Tropical	AERO TROPICAL	Angola
TPC	Air Calédonie	AIRCAL	France
TPD	Top Speed	TOP SPEED	Austria
TPE		TRANSPEN	
TPF	Taxis Aéreos del Pacífico	TAXIPACIFICO	Mexico
TPG	Transportes Aéreos Pegaso	TRANSPEGASO	Mexico
TPI		TOPAIR	
TPJ		TEMPUS JETS	
TPK	Air Horizon	TCHAD-HORIZON	Chad
TPL	TAR Interpilot	INTERPILOT	Mauritania
TPM	Transpaís Aéreo	TRANSPAIS	Mexico
TPN	Transportación Aérea del Norte	AEREA DELNORTE	Mexico
TPO	Aero Taxi del Potosi	TAXI-POTOSI	Mexico
TPP	Transpac Express	TRANS EXPRESS	Australia
TPQ		TRANSPORT QUEBEC	
TPR	Taxis Aéreos De Parral	TAXIS PARRAL	Mexico
TPS	TAPSA Transportes Aéreos Petroleros	TAPSA	Argentina
TPT	Transportes Aéreo del Sureste	TASSA	Mexico
TPU	Trans American Airlines (Trans Am)	TRANS PERU	Peru
TPV	Thai Pacific Airlines Business	THAI PACIFIC	Thailand
TPX	Transportes Aéreos De Xalapa	TRANSXALAPA	Mexico
TPY	Trans-Provincial Airlines	TRANS PROVINCIAL	Canada
TPZ	Transportes La Paz	TRANSPAZ	Mexico
TQB		TOBRUK AIR	
TQE	Taxair Mexiqienses	TAXAIR	Mexico
TQF	United Kingdom Royal VIP Flights	RAINBOW	United Kingdom
TQM		TACOMA	
TQN	Taquan Air Services	TAQUAN	United States
TQR	Transportación Aérea De Querétaro	TRANSQUERETARO	Mexico
TQS	Aeroturquesa	AEROTURQUESA	Mexico
TRA	Transavia	AVIA	Holland
TRA	Transavia	TRANSAVIA	Holland
TRB	Ukraine Transavia	KIROVTRANS	Ukraine
TRC	Trans Air Charter	TRACKER	United States
TRD	Trans Island Air	TRANS ISLAND	Barbados
TRE		TRANS-EAST	
TRF	Taxi Air Fret	TAXI JET	France
TRG		TRIANGLE	
TRH	Airmark Aviation	TRANSTAR	United States
TRI	Executive Flight Operations Ontario Government	TRILLIUM	Canada
TRJ	Trans Euro Air	HIGH TIDE	United Kingdom
TRK	Turkish Airlines General Aviation	TURKISH REPUBLIC	Turkey
TRL	Starlite Aviation	STARSTREAM	South Africa
TRM	Transport Aerien de Mauritanie	SOTRANS	Mauritania
TRN	Servicios Aéreos Corporativos	AEROTRON	Mauritania
TRO	Tropic Airlines-Air Molokai	MOLOKAI	United States
TRP	Maryland State Police	TROOPER	United States
TRQ		HUNTER	
TRR	Tramson Limited	TRAMSON	Sudan
TRS		CITRUS	
TRT	Trans Arabian Air Transport	TRANS ARABIAN	Sudan
TRU	Triangle Airline (Uganda)	TRI AIR	Uganda
TRV		TARONAVIA	
TRW	Transwestern Airlines of Utah	TRANS-WEST	United States
TRX		TERREX	
TRY	Tristar Airlines	TRISTAR AIR	United States
TRZ		TRANS-MERIDIAN	
TSA	Transair France	AIRTRAF	France
TSB		AIR BENIN	
TSC	Air Transat	AIR TRANSAT	Canada
TSC	Air Transat	TRANSAT	Canada (common short version)
TSD	TAF-Linhas Aéreas	TAFI	Brazil
TSE	Transmile Air Services	TRANSMILE	Malaysia
TSF		AFRICANWAY	
TSG	Trans-Air-Congo	TRANS-CONGO	Republic of the Congo
TSH	Regional 1	TRANSCANADA	Canada
TSI	Transport'air	TRANSPORTAIR	France
TSJ	Trast Aero	TRAST AERO	Kyrgyzstan
TSK	Trast Aero	TOMSK-AVIA	Kyrgyzstan
TSL	Thai Aviation Services	THAI AVIATION	Thailand
TSM		SKYLOUNGE	
TSN	Trans-Air Services	AIR TRANS	Nigeria
TSO	Transaero Airlines	TRANSOVIET	Russia
TSP	Transportes Aéreos Inter	TRANSPO-INTER	Guatemala
TSQ	airtransse	AIRTRA	Japan
TSR	TJS San Marino S.r.L.	SAN MARINO	San Marino
TSS	Tri-State Aero	TRI-STATE	United States
TST	TRAST	TRAST	Kazakhstan
TSU	Gulf & Caribbean Cargo / Contract Air Cargo	TRANSAUTO	United States
TSV	Tropair Airservices	TROPIC	United Kingdom
TSW	Transwings	SWISSTRANS	Switzerland
TSX	Thai Star Airlines	THAI STAR	Thailand
TSY	Tristar Air	TRIPLE STAR	Egypt
TTA	TTA - Sociedade de Transporte e Trabalho Aéreo	KANIMANBO	Mozambique
TTB	Aerolíneas Turísticas del Caribe	AERO TURISTICAS	Mexico
TTC	Transteco	TRANSTECO	Angola
TTD		INTERESTATALES	
TTE	Avcenter	TETON	United States
TTF	224th Flight Unit	CARGO UNIT	Russia
TTG		TRANSTEL	
TTI		AERO ATTIE	
TTJ		TATRA	
TTL	Total Linhas Aéreas	TOTAL	Brazil
